Sat Jan 11 15:42:02 2014
OPPENING FILE : Data/62.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/54.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/42.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/53.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/21.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/02.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/58.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/Tests.txt 	 STAT ERROR  : WRITING IMAGE DATA FAIL ! 
OPPENING FILE : Data/32.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/60.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/22.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/57.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/12.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/news.txt 	 STAT ERROR  : WRITING IMAGE DATA FAIL ! 
OPPENING FILE : Data/55.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/01.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/63.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/11.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/41.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/59.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/56.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/31.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/51.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/52.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/61.txt 	 FILE INDEXED ! 
Sat Jan 11 17:15:23 2014
OPPENING FILE : Data/62.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/54.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/42.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/53.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/21.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/02.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/58.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/32.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/60.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/22.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/57.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/12.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/55.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/01.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/63.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/11.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/41.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/59.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/56.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/31.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/51.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/52.txt 	 FILE INDEXED ! 
OPPENING FILE : Data/61.txt 	 FILE INDEXED ! 
